species,lat,lon,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Gymnosporia_rothiana,10.3488,76.8952,21.350000000000023,7.6000000000000005,0.553000020980835,106.80000000000001,29.150000000000034,15.350000000000023,13.8,20.55000000000001,21.250000000000057,23.05000000000001,20.450000000000045,3748.9,715.4000000000001,30.5,68.8,1811.4,139.3,725.2,1541.0
Gymnosporia_rothiana,12.1726,75.6475,23.55000000000001,8.8,0.5889999866485596,93.60000000000001,31.850000000000023,16.950000000000045,14.9,22.750000000000057,23.250000000000057,25.05000000000001,22.650000000000034,4708.7,1347.1000000000001,5.5,110.60000000000001,3258.7000000000003,42.2,498.20000000000005,2634.5
Gymnosporia_rothiana,12.1785,76.7246,24.650000000000034,10.100000000000001,0.5630000114440918,171.60000000000002,34.25000000000006,16.350000000000023,17.900000000000002,23.850000000000023,23.650000000000034,27.350000000000023,22.850000000000023,752.2,159.20000000000002,2.6,72.2,337.40000000000003,23.0,187.60000000000002,73.5
Gymnosporia_rothiana,12.8901,75.7093,22.05000000000001,9.3,0.5539999961853027,123.9,31.650000000000034,14.850000000000023,16.8,20.950000000000045,21.750000000000057,23.950000000000045,20.850000000000023,3259.3,944.7,3.0,107.2,2176.1,22.6,365.5,1885.0
Gymnosporia_rothiana,12.9837,76.1698,22.350000000000023,9.3,0.5289999961853028,169.3,31.750000000000057,14.150000000000034,17.6,21.750000000000057,21.150000000000034,25.05000000000001,20.55000000000001,798.4000000000001,156.4,2.4000000000000004,74.9,352.5,14.200000000000001,163.0,60.300000000000004
Gymnosporia_rothiana,13.335,75.734,20.950000000000045,9.200000000000001,0.5300000190734864,156.5,30.450000000000045,13.150000000000034,17.3,20.150000000000034,19.950000000000045,23.450000000000045,19.450000000000045,1629.5,401.6,3.1,89.10000000000001,919.7,22.0,235.5,98.5
Gymnosporia_rothiana,14.2739,74.7489,24.05000000000001,8.5,0.5699999809265137,122.2,33.05000000000001,18.150000000000034,14.9,22.650000000000034,23.950000000000045,25.850000000000023,22.55000000000001,5043.900000000001,1683.7,1.7000000000000002,132.70000000000002,3996.6000000000004,16.2,236.8,3403.9
Gymnosporia_rothiana,14.2765,74.726,24.05000000000001,8.5,0.5750000000000001,121.0,32.950000000000045,18.250000000000057,14.700000000000001,22.750000000000057,23.950000000000045,25.850000000000023,22.650000000000034,5225.900000000001,1742.4,1.7000000000000002,132.70000000000002,4140.900000000001,16.5,244.0,3522.0
Gymnosporia_rothiana,14.725,74.3083,26.750000000000057,5.7,0.596999979019165,90.7,31.450000000000045,21.950000000000045,9.5,25.950000000000045,26.350000000000023,27.850000000000023,25.750000000000057,3963.0,1218.4,0.4,132.0,3150.3,9.600000000000001,166.8,2457.2000000000003
Gymnosporia_rothiana,14.725,74.4167,25.850000000000023,8.0,0.603000020980835,101.30000000000001,32.85000000000002,19.55000000000001,13.3,25.05000000000001,25.350000000000023,27.350000000000023,24.850000000000023,4098.2,1274.8000000000002,0.8,130.5,3228.3,10.9,185.4,2586.0
